order_id,order_date,product_id,product_category,price,quantity,discount,customer_id,region,payment_method
O000001,2024-04-12,P058,Beauty,798.58,3,0.2,C1380,North,Credit Card
O000002,2024-01-21,P050,Electronics,164.46,3,0.1,C1000,West,Credit Card
O000003,2024-03-28,P038,Beauty,340.37,3,0.2,C0744,South,UPI
O000004,2024-09-14,P026,Electronics,724.78,2,0.15,C1068,North,UPI
O000005,2024-10-03,P007,Sports,621.31,2,0.2,C0968,South,Cash
O000006,2024-08-23,P088,Home,32.83,3,0.1,C0813,North,UPI
O000007,2024-06-18,P020,Clothing,56.2,4,0.1,C1107,East,Credit Card
O000008,2024-12-29,P091,Clothing,519.09,1,0.1,C1849,North,UPI
O000009,2024-11-02,P086,Electronics,683.5,1,0.05,C1507,East,Credit Card
O000010,2024-03-29,P010,Clothing,965.98,2,0.05,C0217,East,Debit Card
O000011,2024-09-21,P008,Electronics,25.81,2,0.15,C0687,West,Credit Card
O000012,2024-04-01,P016,Home,445.75,4,0.2,C0615,North,Credit Card
O000013,2024-09-20,P088,Sports,44.04,1,0.15,C0670,North,UPI
O000014,2024-02-19,P084,Electronics,665.9,2,0.05,C0152,East,UPI
O000015,2024-09-16,P074,Sports,193.01,2,0.05,C0457,North,Cash
O000016,2024-02-13,P053,Sports,940.1,4,0.15,C1814,West,Debit Card
O000017,2024-07-08,P095,Electronics,332.08,5,0.05,C0446,West,UPI
O000018,2024-02-22,P074,Sports,590.88,1,0.15,C1651,West,Cash
O000019,2024-07-06,P036,Sports,547.27,1,0.2,C0348,East,Debit Card
O000020,2024-01-15,P044,Clothing,173.61,1,0.0,C0735,East,Debit Card
O000021,2024-12-09,P053,Home,400.93,3,0.1,C0042,West,UPI
O000022,2024-03-21,P024,Sports,714.23,3,0.0,C1834,East,Cash
O000023,2024-09-17,P003,Electronics,927.04,2,0.0,C0249,West,UPI
O000024,2024-01-28,P076,Beauty,864.47,4,0.05,C1402,South,Cash
O000025,2024-02-02,P067,Home,72.92,5,0.1,C1471,East,Credit Card
O000026,2024-06-20,P067,Home,641.18,3,0.1,C1397,West,UPI
O000027,2024-08-14,P021,Sports,128.4,3,0.0,C1987,West,Credit Card
O000028,2024-01-05,P062,Clothing,565.66,3,0.0,C1834,North,Credit Card
O000029,2024-07-25,P056,Sports,433.27,2,0.15,C0980,East,Cash
O000030,2024-06-27,P080,Beauty,41.11,1,0.15,C1492,West,Cash
O000031,2024-04-05,P100,Sports,698.56,5,0.2,C0442,West,UPI
O000032,2024-05-22,P029,Electronics,758.0,4,0.2,C1173,West,Cash
